"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW1,SW2";"SW_Push_SPST_NO_Alps_SKRK";2;"SW_Push";;;
2;"C1,C2";"C_0805_2012Metric";2;"22p";;;
3;"C5,C3,C6,C7";"C_1206_3216Metric";4;"0u1";;;
4;"R9,R10";"R_1206_3216Metric";2;"100";;;
5;"D2";"LED_1206_3216Metric";1;"Power_Led";;;
6;"R4,R5";"R_1206_3216Metric";2;"22";;;
7;"J3,J4";"Pins_x12";2;"Conn_01x12";;;
8;"R3,R2,R1";"R_1206_3216Metric";3;"220";;;
9;"R8";"R_1206_3216Metric";1;"180";;;
10;"R6,R7";"R_1206_3216Metric";2;"10K";;;
11;"D4";"LED_1206_3216Metric";1;"Green_Led";;;
12;"J1";"Molex-216990_GCT-USB45xx_HRO-TYPE-C-31-M-13x";1;"USB_C_Receptacle_USB2.0";;;
13;"C8";"R_1206_3216Metric";1;"1u";;;
14;"X1";"Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm";1;"16MHz";;;
15;"J2";"Pins_USB";1;"Conn_01x02";;;
16;"U1";"TQFP-44-1EP_10x10mm_P0.8mm_EP4.5x4.5mm";1;"ATmega32U4-M";;;
17;"D3";"LED_1206_3216Metric";1;"Yellow_Led";;;
18;"D1";"D_PowerDI-123";1;"D_Schottky";;;
19;"C4";"R_1206_3216Metric";1;"0u1";;;
20;"F1";"Fuse_0805_2012Metric";1;"500mA";;;
21;"D5";"LED_Avago_PLCC4_3.2x2.8mm_CW";1;"LED_RGBK";;;
